HMDB_ID,compound_name,Molecular_Formula,MonoisotopicMass,smiles,inchikey
HMDB0003603,CE(10:0),C37H64O2,540.4906313,CCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C,LJGMGXXCKVFFIS-UHFFFAOYSA-N
HMDB0005189,CE(18:1(11Z)),C45H78O2,650.6001817,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C,BNQAKMBVXYXXED-XZMNDPPTSA-N
HMDB0000918,CE(18:1(9Z)),C45H78O2,650.6001817,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C,RJECHNNFRHZQKU-DVPYOPPASA-N
HMDB0000610,"CE(18:2(9Z,12Z))",C45H76O2,648.5845317,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C,NAACPBBQTFFYQB-XHDSEGDBSA-N
HMDB0006737,"CE(22:2(13Z,16Z))",C49H84O2,704.6471319,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C,YSGVSTJGBYXXIM-OVUVNFMNSA-N
HMDB0011760,Cer(d18:0/16:0),C34H69NO3,539.5277451,CCCCCCCCCCCCCCC[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCCCC,GCGTXOVNNFGTPQ-JHOUSYSJSA-N
HMDB0011761,Cer(d18:0/18:0),C36H73NO3,567.5590452,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCC)[C@H](O)CCCCCCCCCCCCCCC,KZTJQXAANJHSCE-OIDHKYIRSA-N
HMDB0011764,Cer(d18:0/20:0),C38H77NO3,595.5903453,CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC,ZWAUSWHRQBSECP-PQQNNWGCSA-N
HMDB0011765,Cer(d18:0/22:0),C40H81NO3,623.6216455,CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC,SXPRAKSDHOEHIG-ZESVVUHVSA-N
HMDB0011767,Cer(d18:0/23:0),C41H83NO3,637.6372955,CCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC,FTSDYFFYZJTACJ-IOLBBIBUSA-N
HMDB0011768,Cer(d18:0/24:0),C42H85NO3,651.6529456,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC,BPLYVSYSBPLDOA-WVILEFPPSA-N
HMDB0011770,Cer(d18:0/25:0),C43H87NO3,665.6685956,CCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC,HCDLRJUFVJOBJP-ACEXITHZSA-N
HMDB0011771,Cer(d18:0/26:0),C44H89NO3,679.6842457,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC,NWERZHCPHDHUMO-WZYYJWNZSA-N
HMDB0004947,Cer(d18:1/12:0),C30H59NO3,481.4494947,[H][C@@](CO)(NC(=O)CCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,HXFPPRPLRSPNIB-VARSQMIESA-N
HMDB0004949,Cer(d18:1/16:0),C34H67NO3,537.512095,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,YDNKGFDKKRUKPY-TURZORIXSA-N
HMDB0004950,Cer(d18:1/18:0),C36H71NO3,565.5433951,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,VODZWWMEJITOND-NXCSZAMKSA-N
