HMDB_ID,compound_name,Molecular_Formula,MonoisotopicMass,smiles,inchikey
HMDB0031526,(¡À)-2-Methylbutanal,C5H10O,86.07316494,CCC(C)C=O,BYGQBDHUGHBGMD-UHFFFAOYSA-N
HMDB0031580,(¡À)-2-Methylpentanoic_acid,C6H12O2,116.0837296,CCCC(C)C(O)=O,OVBFMEVBMNZIBR-UHFFFAOYSA-N
HMDB0033923,(¡À)-erythro-Isoleucine,C6H13NO2,131.0946287,CCC(C)C(N)C(O)=O,AGPKZVBTJJNPAG-UHFFFAOYSA-N
C18195,(3R)-11-cis-3-Hydroxyretinal,C20H28O2,300.2089,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C\C(=C\C=O)\C)/C,QPRQNCDEPWLQRO-NIKQCJNBSA-N
C18196,(3R)-all-trans-3-Hydroxyretinal,C20H28O2,300.2089,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C,QPRQNCDEPWLQRO-ZCEAMUHZSA-N
C20428,(3S)-11-cis-3-Hydroxyretinal,C20H28O2,300.2089,CC1=C(C(C[C@H](C1)O)(C)C)/C=C/C(=C/C=C\C(=C\C=O)\C)/C,QPRQNCDEPWLQRO-GQSKFBJNSA-N
C20429,(3S)-all-trans-3-Hydroxyretinal,C20H28O2,300.2089,CC1=C(C(C[C@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C,QPRQNCDEPWLQRO-IRVDFSNZSA-N
HMDB0062251,"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,_isoform_A_(protein)",C3H7NO2,89.04767846,CC(N)C(O)=O,QNAYBMKLOCPYGJ-UHFFFAOYSA-N
HMDB0013809,(E)-2-octenal,C8H14O,126.1044651,[H]C(=O)C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],LVBXEMGDVWVTGY-UHFFFAOYSA-N
HMDB0012141,"(R)-2,3-Dihydroxy-isovalerate",C5H10O4,134.0579088,CC(C)(O)[C@@H](O)C(O)=O,JTEYKUFKXGDTEU-VKHMYHEASA-N
HMDB0002264,(R)-2-Hydroxycaprylic_acid,C8H16O3,160.1099444,CCCCCC[C@@H](O)C(O)=O,JKRDADVRIYVCCY-SSDOTTSWSA-N
HMDB0001090_,(R)-5-Diphosphomevalonate,C6H14O10P2,308.0062,C[C@@](CCOP(=O)(O)OP(=O)(O)O)(CC(=O)O)O,SIGQQUBJQXSAMW-ZCFIWIBFSA-N
HMDB0001343_,(R)-5-Phosphomevalonate,C6H13O7P,228.0399,C[C@@](CCOP(=O)(O)O)(CC(=O)O)O,OKZYCXHTTZZYSK-ZCFIWIBFSA-N
HMDB0002299,(R)-beta-Aminoisobutyric_acid,C4H9NO2,103.0633285,C[C@H](CN)C(O)=O,QCHPKSFMDHPSNR-GSVOUGTGSA-N
HMDB0000227,(R)-Mevalonate,C6H12O4,148.0736,C[C@@](CCO)(CC(=O)O)O,KJTLQQUUPVSXIM-ZCFIWIBFSA-N
C20848,"(R)-Mevalonate_3,5-bisphosphate",C6H14O10P2,308.0062,C[C@@](CCOP(=O)(O)O)(CC(=O)O)OP(=O)(O)O,DKXZSGIZFNWMLJ-ZCFIWIBFSA-N
C20847,(R)-Mevalonate_3-phosphate,C6H13O7P,228.0399,C[C@@](CCO)(CC(=O)O)OP(=O)(O)O,VWCNCYQNEAUWMQ-ZCFIWIBFSA-N
HMDB0005199,(R)-Salsolinol,C10H13NO2,179.0946287,CC1NCCC2=C1C=C(O)C(O)=C2,IBRKLUSXDYATLG-UHFFFAOYSA-N
HMDB0031525,(S)-2-Methylbutanal,C5H10O,86.07316494,CC[C@H](C)C=O,BYGQBDHUGHBGMD-YFKPBYRVSA-N
HMDB0000337,"(S)-3,4-Dihydroxybutyric_acid",C4H8O4,120.0422587,OCC(O)CC(O)=O,DZAIOXUZHHTJKN-UHFFFAOYSA-N
HMDB0000023,(S)-3-Hydroxyisobutyric_acid,C4H8O3,104.0473441,C[C@@H](CO)C(O)=O,DBXBTMSZEOQQDU-VKHMYHEASA-N
HMDB0002166,(S)-beta-Aminoisobutyric_acid,C4H9NO2,103.0633285,C[C@@H](CN)C(O)=O,QCHPKSFMDHPSNR-VKHMYHEASA-N
HMDB0033433,(S)-Homostachydrine,C8H15NO2,157.1102787,C[N+]1(C)CCCC[C@H]1C([O-])=O,XULZWQRXYTVUTE-ZETCQYMHSA-N
HMDB0002327,"1,11-Undecanedicarboxylic_acid",C13H24O4,244.1674592,OC(=O)CCCCCCCCCCCC(O)=O,DXNCZXXFRKPEPY-UHFFFAOYSA-N
HMDB0031193,"1,2,3-Propanetricarboxylic_acid",C6H8O6,176.032088,OC(=O)CC(CC(O)=O)C(O)=O,KQTIIICEAUMSDG-UHFFFAOYSA-N
HMDB0001881_,"1,2-Propanediol",C3H8O2,76.0524,CC(CO)O,DNIAPMSPPWPWGF-UHFFFAOYSA-N
HMDB0002123,"1,3,7-Trimethyluric_acid",C8H10N4O3,210.0752902,CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2C,BYXCFUMGEBZDDI-UHFFFAOYSA-N
HMDB0000002,"1,3-Diaminopropane",C3H10N2,74.08439832,NCCCN,XFNJVJPLKCPIBV-UHFFFAOYSA-N
HMDB0061918,"1,3-Dihydro-(2H)-indol-2-one",C8H7NO,133.0527638,O=C1CC2=CC=CC=C2N1,JYGFTBXVXVMTGB-UHFFFAOYSA-N
HMDB0001857,"1,3-Dimethyluric_acid",C7H8N4O3,196.0596401,CN1C2=C(NC(=O)N2)C(=O)N(C)C1=O,OTSBKHHWSQYEHK-UHFFFAOYSA-N
C02457,"1,3-Propanediol",C3H8O2,76.0524,C(CO)CO,YPFDHNVEDLHUCE-UHFFFAOYSA-N
HMDB0011103,"1,7-Dimethyluric_acid",C7H8N4O3,196.0596401,CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2,NOFNCLGCUJJPKU-UHFFFAOYSA-N
HMDB0006485_,10-Formyldihydrofolate,C20H21N7O7,471.1502,C1C(=NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,UXFQDXABPXWSTK-ZDUSSCGKSA-N
C00234,10-Formyltetrahydrofolate,C20H23N7O7,473.1659,C1[C@@H](NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,AUFGTPPARQZWDO-YPMHNXCESA-N
C05919,11-cis-Dehydroretinal,C20H26O,282.1984,CC1=C(C(CC=C1)(C)C)/C=C/C(=C/C=C\C(=C\C=O)\C)/C,QHNVWXUULMZJKD-IOUUIBBYSA-N
HMDB0002152_,11-cis-Retinal;11-cis-Vitamin_A_aldehyde;11-cis-Retinene,C20H28O,284.214,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C\C(=C\C=O)\C)/C,NCYCYZXNIZJOKI-IOUUIBBYSA-N
HMDB0006216_,11-cis-Retinol,C20H30O,286.2297,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C\C(=C\CO)\C)/C,FPIPGXGPPPQFEQ-IOUUIBBYSA-N
HMDB0006221,13-cis_Retinol,C20H30O,286.2296656,C\C(=C\CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,FPIPGXGPPPQFEQ-HWCYFHEPSA-N
HMDB0006219_,13-cis-Retinoic_acid,C20H28O2,300.2089,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C,SHGAZHPCJJPHSC-XFYACQKRSA-N
HMDB0006221,13-cis-Retinol;Neovitamin_A,C20H30O,286.2297,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\CO)/C)/C,FPIPGXGPPPQFEQ-HWCYFHEPSA-N
HMDB0037397,17-Methyloctadecanoic_acid,C19H38O2,298.2871805,CC(C)CCCCCCCCCCCCCCCC(O)=O,YETXGSGCWODRAA-UHFFFAOYSA-N
